,Context Length,Feature Name,Language Pair,Coefficient
139,2,yulesi,enfi,0.17978573026000800
140,2,positional token frequency,enfi,0.0878687679538409
141,2,explicit naming,enfi,0.06240311926035460
142,2,passive verb ratio,enfi,0.061747900014730400
143,2,pmi,enfi,0.05475375510811520
144,2,mean multiple naming,enfi,0.04204294700459610
145,2,single naming,enfi,0.040741356948387500
146,2,contextual function word,enfi,0.007684353851821540
147,2,50 most frequent word,enfi,-0.004207482120032210
148,2,10 most frequent word,enfi,-0.02082912984244560
149,2,type token ratio,enfi,-0.035757527985572300
150,2,5 most frequent word,enfi,-0.03744367784529150
151,2,average word length,enfi,-0.0386047102075615
152,2,repetition ratio,enfi,-0.04464717188525360
153,2,pronoun ratio,enfi,-0.044722148425138400
154,2,thresold PMI,enfi,-0.0836225536798306
155,2,lexical density,enfi,-0.09515096671012180
156,2,average function words,enfi,-0.11050463622705100
157,2,mdd,enfi,-0.14852943302004600
158,2,mean word rank,enfi,-0.15778150262520500
159,2,length ratio,enfi,-0.1836687720473250
160,2,mtld,enfi,-0.3607353218384660
161,2,average sentence length,zhen,0.8609873749090580
162,2,5 most frequent word,zhen,0.4758672073557040
163,2,average function words,zhen,0.2335250857896950
164,2,yulesi,zhen,0.13894374797501400
165,2,thresold PMI,zhen,0.07456100958948500
166,2,perplexity,zhen,0.057069029734647600
167,2,average word length,zhen,0.055918140806419400
168,2,type token ratio,zhen,0.04751534034025830
169,2,contextual function word,zhen,0.036609565194132100
170,2,repetition ratio,zhen,0.02491416634542940
171,2,passive verb ratio,zhen,-0.017308315342558700
172,2,single naming,zhen,-0.021806570714643200
173,2,lexical density,zhen,-0.035153329574868600
174,2,pos perplexity,zhen,-0.041404295929825700
175,2,pronoun ratio,zhen,-0.0733810658084712
176,2,mean multiple naming,zhen,-0.10596660936904300
177,2,mean word rank,zhen,-0.1245202764707970
178,2,50 most frequent word,zhen,-0.12770573993946800
179,2,explicit naming,zhen,-0.1291411656369810
180,2,positional token frequency,zhen,-0.14235372865831700
181,2,10 most frequent word,zhen,-0.18139440541224900
182,2,mtld,zhen,-0.30239801894326500
183,2,mdd,zhen,-0.4034866366421720
184,2,pmi,zhen,-0.4413230482446600
185,2,syllable ratio,zhen,-0.5308443798395420
186,2,length ratio,zhen,-0.5476451598061650
187,5,type token ratio,guen,0.673798454254762
188,5,average function words,guen,0.5333854548834530
189,5,syllable ratio,guen,0.5227094349345850
190,5,positional token frequency,guen,0.5204509875539190
191,5,5 most frequent word,guen,0.5012748294770580
192,5,repetition ratio,guen,-0.38145533085397400
193,5,yulesi,guen,-0.451999839629513
194,5,average word length,guen,-0.4901247473094550
195,5,50 most frequent word,guen,-0.5049383143964600
196,5,syllable ratio,ruen,1.0673131850509800
