Context Length,Feature Name,Language Pair,Coefficient,Absolute coefficient,Rank
5,thresold PMI,enpt,-0.043728903901965100,0.044,8
5,positional token frequency,enpt,-0.040171540665282600,0.04,9
5,pronoun ratio,enpt,-0.03572489438115540,0.036,10
5,50 most frequent word,enpt,-0.019978226126974100,0.02,11
5,type token ratio,enpt,-0.01848718294878100,0.018,12
5,average word length,enpt,0.014028217541226200,0.014,13
5,yulesi,enpt,0.01384481166815650,0.014,14
5,explicit naming,enpt,-0.013475124811279500,0.013,15
5,10 most frequent word,enpt,-0.011490351172417600,0.011,16
5,contextual function word,enpt,0.00977738294851839,0.01,17
5,mdd,enpt,-0.009405077982228620,0.009,18
5,pmi,enpt,-0.004445740071595410,0.004,19
5,mean multiple naming,enpt,0.004392335101808910,0.004,20
5,mean word rank,enpt,0.0029697333427260400,0.003,21
5,passive verb ratio,enpt,-0.0008768385104655640,0.001,22
10,mtld,enpt,0.10364800817006900,0.104,1
10,lexical density,enpt,-0.08766582378955320,0.088,2
10,thresold PMI,enpt,-0.06517729801802050,0.065,3
10,average function words,enpt,-0.0630830958095577,0.063,4
2,average function words,enru,0.2887550394765790,0.289,1
2,passive verb ratio,enru,-0.2665394469601230,0.267,2
2,length ratio,enru,0.23626004323693300,0.236,3
2,mean multiple naming,enru,0.2330385741357360,0.233,4
2,50 most frequent word,enru,-0.2253551048904500,0.225,5
2,type token ratio,enru,0.20648442419867400,0.206,6
5,50 most frequent word,enru,-0.3753327199504720,0.375,1
5,mean multiple naming,enru,0.2906408763655230,0.291,2
5,average function words,enru,0.241839848010648,0.242,3
5,mtld,enru,0.21042094383922100,0.21,4
5,length ratio,enru,0.1989847008658000,0.199,5
5,repetition ratio,enru,-0.18705048838216800,0.187,6
5,positional token frequency,enru,0.1534249175181430,0.153,7
5,pmi,enru,0.14404243331156700,0.144,8
5,yulesi,enru,-0.12938672674307000,0.129,9
5,passive verb ratio,enru,-0.1279795670723800,0.128,10
5,pos perplexity,enru,0.12284757517829000,0.123,11
5,explicit naming,enru,0.1159740264761630,0.116,12
5,mean word rank,enru,-0.1141379637594860,0.114,13
5,10 most frequent word,enru,0.09276245574910240,0.093,14
5,pronoun ratio,enru,0.06846192295992920,0.068,15
5,type token ratio,enru,0.04358653533559450,0.044,16
5,contextual function word,enru,-0.02350946407522790,0.024,17
5,average word length,enru,-0.013093146655573700,0.013,18
5,thresold PMI,enru,0.005867155467377220,0.006,19
5,lexical density,enru,-0.005266960263550590,0.005,20
10,mean multiple naming,enru,0.6064586340716380,0.606,1
10,50 most frequent word,enru,-0.3092977707655440,0.309,2
10,repetition ratio,enru,-0.18445900321291600,0.184,3
10,average function words,enru,0.15696962474883400,0.157,4
10,length ratio,enru,0.1475617443411470,0.148,5
10,pos perplexity,enru,0.14666510364941300,0.147,6
10,mean word rank,enru,-0.1272280569443130,0.127,7
10,10 most frequent word,enru,0.09252639481139660,0.093,8
