Context Length,Feature Name,Language Pair,Coefficient,Absolute coefficient,Rank
10,50 most frequent word,enfi,-0.413385103744677,0.413,7
10,average sentence length,enfi,0.38066889814817,0.381,8
10,thresold PMI,enfi,-0.355399844316064,0.355,9
10,average function words,enfi,-0.302567154062426,0.303,10
10,pronoun ratio,enfi,0.253597139889849,0.254,11
10,average word length,enfi,-0.248678179220315,0.249,12
10,type token ratio,enfi,-0.23966999823119,0.24,13
2,length ratio,enlt,-0.193276146801952,0.193,1
2,pmi,enlt,0.164091576861068,0.164,2
2,mtld,enlt,-0.106542038613255,0.107,3
2,average word length,enlt,-0.0949447068150361,0.095,4
2,average function words,enlt,0.0830828087874448,0.083,5
2,pos perplexity,enlt,0.0770174009618699,0.077,6
2,passive verb ratio,enlt,0.0646387475792871,0.065,7
5,length ratio,enlt,-0.757239638836519,0.757,1
5,average function words,enlt,0.277796240826102,0.278,2
10,type token ratio,enlt,-1.65409303562918,1.654,1
10,average sentence length,enlt,-1.2778932952179400,1.278,2
10,length ratio,enlt,-0.798109032848307,0.798,3
10,average word length,enlt,-0.650744224420888,0.651,4
10,contextual function word,enlt,-0.551667850350555,0.552,5
10,average function words,enlt,0.54331516157058,0.543,6
10,mtld,enlt,-0.535496698986267,0.535,7
10,repetition ratio,enlt,-0.529099950561767,0.529,8
10,yulesi,enlt,0.444714501125168,0.445,9
10,pos perplexity,enlt,0.398244024279132,0.398,10
10,positional token frequency,enlt,-0.295516698364559,0.296,11
10,single naming,enlt,0.248014038886187,0.248,12
10,mean multiple naming,enlt,-0.23984770617562,0.24,13
10,pmi,enlt,0.21033071655877800,0.21,14
10,pronoun ratio,enlt,-0.178244004314182,0.178,15
10,passive verb ratio,enlt,0.156324251599378,0.156,16
10,thresold PMI,enlt,-0.100708638688706,0.101,17
10,mdd,enlt,0.0709493471552166,0.071,18
10,explicit naming,enlt,-0.0317424621022135,0.032,19
2,length ratio,enru,-0.211087363919172,0.211,1
2,pmi,enru,-0.0765911696179722,0.077,2
2,thresold PMI,enru,0.05996055568869,0.06,3
2,average word length,enru,0.0539122126265595,0.054,4
2,mean word rank,enru,-0.0513033908751162,0.051,5
2,50 most frequent word,enru,0.0475309434258536,0.048,6
2,10 most frequent word,enru,-0.0434204936177822,0.043,7
2,passive verb ratio,enru,0.0413186655213492,0.041,8
2,average sentence length,enru,-0.0325896395608761,0.033,9
2,lexical density,enru,0.0322784325916938,0.032,10
2,mean multiple naming,enru,0.0268096752298206,0.027,11
2,single naming,enru,0.0247822504259123,0.025,12
2,pos perplexity,enru,0.0229028718506707,0.023,13
2,positional token frequency,enru,-0.0212737966363654,0.021,14
2,yulesi,enru,-0.0199959753732667,0.02,15
2,mtld,enru,-0.0181823697801991,0.018,16
2,mdd,enru,0.0167289819497264,0.017,17
2,explicit naming,enru,-0.0174489908496672,0.017,18
2,repetition ratio,enru,-0.0138799205763953,0.014,19
2,5 most frequent word,enru,0.0102465040790022,0.01,20
2,contextual function word,enru,-0.008976122901029720,0.009,21
2,pronoun ratio,enru,0.00773671693610053,0.008,22
2,type token ratio,enru,0.00300008329031673,0.003,23
2,average function words,enru,0.00100121480872846,0.001,24
5,length ratio,enru,-0.355023488423093,0.355,1
5,type token ratio,enru,0.182575799666679,0.183,2
5,average word length,enru,0.18124828156123,0.181,3
5,average sentence length,enru,0.12693484019266,0.127,4
5,thresold PMI,enru,0.0992265830759149,0.099,5
5,mean word rank,enru,-0.0981493435650081,0.098,6
5,yulesi,enru,-0.0972002858021193,0.097,7
5,pmi,enru,-0.0552090571817826,0.055,8
5,average function words,enru,0.0462004157860699,0.046,9
5,lexical density,enru,0.0447429559129846,0.045,10
5,passive verb ratio,enru,0.0409187575438059,0.041,11
5,contextual function word,enru,-0.0243659648085789,0.024,12
5,repetition ratio,enru,0.00305331788584424,0.003,13
5,pos perplexity,enru,-0.00261463777502648,0.003,14
10,length ratio,enru,-0.495388644472523,0.495,1
10,average word length,enru,0.221209191422087,0.221,2
10,yulesi,enru,-0.17856205999884,0.179,3
10,type token ratio,enru,0.105095488829418,0.105,4
2,syllable ratio,fien,-0.549696747501358,0.55,1
2,pronoun ratio,fien,-0.34374641024052,0.344,2
2,contextual function word,fien,0.337829709220708,0.338,3
2,average sentence length,fien,0.224742105447954,0.225,4
2,repetition ratio,fien,-0.221326349437632,0.221,5
2,average word length,fien,-0.208100578523395,0.208,6
2,mean word rank,fien,0.203029541137398,0.203,7
2,pmi,fien,-0.192763567248539,0.193,8
2,5 most frequent word,fien,0.182546779262764,0.183,9
2,average function words,fien,-0.150886540629813,0.151,10
2,lexical density,fien,0.128120206446755,0.128,11
2,type token ratio,fien,-0.12639882869445,0.126,12
2,perplexity,fien,0.114170969452503,0.114,13
2,thresold PMI,fien,0.110660049437714,0.111,14
2,passive verb ratio,fien,0.093436949537406,0.093,15
2,length ratio,fien,-0.0925510380424374,0.093,16
2,10 most frequent word,fien,-0.0920735121929142,0.092,17
2,positional token frequency,fien,0.0900464604611457,0.09,18
2,50 most frequent word,fien,0.0856382711740537,0.086,19
2,explicit naming,fien,-0.069531919095772,0.07,20
2,mdd,fien,0.0568134387321363,0.057,21
2,single naming,fien,-0.049045237868862500,0.049,22
2,yulesi,fien,0.0402961812330381,0.04,23
2,mean multiple naming,fien,0.0251029512593524,0.025,24
2,mtld,fien,-0.0010724145154960800,0.001,25
5,syllable ratio,fien,-1.02460506531772,1.025,1
5,average sentence length,fien,0.762236189585704,0.762,2
5,pronoun ratio,fien,-0.571886916607767,0.572,3
5,repetition ratio,fien,-0.373432556311696,0.373,4
5,contextual function word,fien,0.370949784626554,0.371,5
5,length ratio,fien,0.284846573459076,0.285,6
10,repetition ratio,fien,-0.556106055291963,0.556,1
10,pronoun ratio,fien,-0.542511851747771,0.543,2
10,length ratio,fien,0.520053591499971,0.52,3
10,contextual function word,fien,0.396753010183266,0.397,4
10,syllable ratio,fien,-0.355738692555459,0.356,5
10,5 most frequent word,fien,0.272218210027682,0.272,6
2,lexical density,guen,-0.565446624972769,0.565,1
2,pronoun ratio,guen,-0.467832208847559,0.468,2
2,5 most frequent word,guen,0.4127555150635,0.413,3
2,length ratio,guen,-0.368965939985674,0.369,4
2,syllable ratio,guen,0.334639299378143,0.335,5
2,average word length,guen,-0.299521820224132,0.3,6
2,positional token frequency,guen,0.290313733734292,0.29,7
2,50 most frequent word,guen,-0.273048065944086,0.273,8
2,pmi,guen,-0.263462220531912,0.263,9
2,single naming,guen,-0.244435446655874,0.244,10
2,average sentence length,guen,-0.23180779271777,0.232,11
2,mean multiple naming,guen,-0.191626337494168,0.192,12
2,repetition ratio,guen,-0.166763161707611,0.167,13
2,perplexity,guen,0.152690084482585,0.153,14
5,type token ratio,guen,0.673798454254762,0.674,1
5,average function words,guen,0.533385454883453,0.533,2
5,syllable ratio,guen,0.522709434934585,0.523,3
5,positional token frequency,guen,0.520450987553919,0.52,4
5,50 most frequent word,guen,-0.50493831439646,0.505,5
5,5 most frequent word,guen,0.501274829477058,0.501,6
5,average word length,guen,-0.490124747309455,0.49,7
5,yulesi,guen,-0.45199983962951300,0.452,8
5,repetition ratio,guen,-0.381455330853974,0.381,9
10,pronoun ratio,guen,-0.366621873698417,0.367,1
10,yulesi,guen,-0.328421031012962,0.328,2
10,average function words,guen,0.321982389517517,0.322,3
10,contextual function word,guen,-0.317651825602743,0.318,4
10,repetition ratio,guen,-0.31477898774003,0.315,5
10,average word length,guen,-0.261699013825318,0.262,6
10,5 most frequent word,guen,0.257824872446424,0.258,7
10,lexical density,guen,-0.0891819076157472,0.089,8
2,syllable ratio,kken,-0.405587093096569,0.406,1
2,average sentence length,kken,0.295560458526665,0.296,2
2,5 most frequent word,kken,0.216703536398296,0.217,3
2,lexical density,kken,-0.172961065673977,0.173,4
2,thresold PMI,kken,0.152023579609605,0.152,5
2,pmi,kken,-0.12151400816488300,0.122,6
5,syllable ratio,kken,-1.76465084585973,1.765,1
5,average sentence length,kken,1.65624125184092,1.656,2
5,lexical density,kken,-0.920503511618933,0.921,3
5,5 most frequent word,kken,0.843553339885647,0.844,4
5,contextual function word,kken,-0.580173289998987,0.58,5
5,pronoun ratio,kken,-0.534571596287554,0.535,6
5,thresold PMI,kken,0.446221912236962,0.446,7
5,explicit naming,kken,0.42212017944955,0.422,8
5,average word length,kken,0.413998027002172,0.414,9
5,10 most frequent word,kken,0.333496221749537,0.333,10
5,passive verb ratio,kken,0.318916697053371,0.319,11
5,type token ratio,kken,0.293175217023695,0.293,12
5,mean word rank,kken,-0.266807401783763,0.267,13
5,50 most frequent word,kken,0.26146505915524,0.261,14
5,perplexity,kken,0.255959587331658,0.256,15
5,pmi,kken,-0.211844564057404,0.212,16
5,mean multiple naming,kken,-0.210229263799502,0.21,17
5,repetition ratio,kken,-0.150582596223982,0.151,18
5,single naming,kken,-0.138994021559228,0.139,19
5,positional token frequency,kken,-0.131801437139518,0.132,20
5,mdd,kken,-0.119509347454319,0.12,21
5,average function words,kken,0.061357687268862,0.061,22
10,perplexity,kken,9.9618783673946,9.962,1
10,syllable ratio,kken,-4.8154641732959,4.815,2
10,average sentence length,kken,4.03319565354092,4.033,3
10,thresold PMI,kken,1.22952448674255,1.23,4
10,lexical density,kken,-0.995247304371917,0.995,5
10,pmi,kken,-0.979592836099733,0.98,6
10,10 most frequent word,kken,0.942800700547525,0.943,7
10,5 most frequent word,kken,0.686121670552919,0.686,8
10,passive verb ratio,kken,0.656091717673832,0.656,9
10,average word length,kken,0.626419030572444,0.626,10
10,mean multiple naming,kken,-0.610545924422359,0.611,11
10,contextual function word,kken,-0.362422788222783,0.362,12
10,yulesi,kken,-0.125206454830053,0.125,13
2,mtld,lten,-0.23527624523272,0.235,1
2,length ratio,lten,-0.189107136660449,0.189,2
2,yulesi,lten,0.170831334700008,0.171,3
2,10 most frequent word,lten,-0.16674594446246,0.167,4
2,syllable ratio,lten,-0.13727136351515,0.137,5
2,average function words,lten,-0.133845066670579,0.134,6
2,5 most frequent word,lten,0.126194969860124,0.126,7
2,average word length,lten,0.124057748113816,0.124,8
2,contextual function word,lten,0.117805796033497,0.118,9
2,mean word rank,lten,-0.117505953521495,0.118,10
2,pmi,lten,0.116393942246857,0.116,11
2,type token ratio,lten,-0.104707534585679,0.105,12
2,50 most frequent word,lten,0.0719464428385292,0.072,13
2,average sentence length,lten,0.0648697512719739,0.065,14
2,repetition ratio,lten,-0.06546222174951,0.065,15
2,pronoun ratio,lten,-0.0647209335350783,0.065,16
2,lexical density,lten,-0.0522949620776514,0.052,17
