,Context Length,Feature Name,Language Pair,Coefficient
137,10,mtld,enfr,-0.004721676452085830
138,10,mdd,enfr,-0.01867776466667460
139,10,passive verb ratio,enfr,-0.022797394399431900
140,10,contextual function word,enfr,-0.13856343007550400
141,10,average word length,enfr,-0.1698936078856390
142,10,10 most frequent word,enfr,-0.21401559625283700
143,10,lexical density,enfr,-0.2178163737487150
144,10,thresold PMI,enfr,-0.2277402772946690
145,10,explicit naming,enfr,-0.24844763343823500
146,10,average sentence length,enfr,-0.3544507937240390
147,10,type token ratio,enfr,-0.4900738460035800
148,10,mean multiple naming,enru,0.6064586340716380
149,10,average function words,enru,0.15696962474883400
150,10,length ratio,enru,0.1475617443411470
151,10,pos perplexity,enru,0.14666510364941300
152,10,10 most frequent word,enru,0.09252639481139660
153,10,mean word rank,enru,-0.1272280569443130
154,10,repetition ratio,enru,-0.18445900321291600
155,10,50 most frequent word,enru,-0.3092977707655440
156,10,length ratio,ende,0.5931529102756930
157,10,pmi,ende,0.5396945175596380
158,10,mtld,ende,0.31990608784834200
159,10,50 most frequent word,ende,-0.18969093011905100
160,10,thresold PMI,ende,-0.2832307202802770
161,10,repetition ratio,ende,-0.3367611758376920
162,10,yulesi,ende,-0.4073408509454950
163,10,length ratio,ennl,0.14485368187543600
164,10,single naming,ennl,0.07592063568877910
165,10,lexical density,ennl,0.06377438511918770
166,10,pronoun ratio,ennl,0.05401083339269590
167,10,mtld,ennl,0.050614939901500600
168,10,average function words,ennl,0.04084402794535050
