,Context Length,Feature,Coefficient,VIF
0,2,contextual function word,0.49346805572767705,3.5957511223382346
1,2,single naming,0.12612505743757432,2.1520578586821317
2,2,explicit naming,0.09960415895080453,1.7830404577743089
3,2,repetition ratio,0.0950875495699716,2.146586962739068
4,2,passive verb ratio,0.015920471026185486,2.088462364644653
5,2,perplexity,0.004217468263325087,1.095406938168944
6,2,pos perplexity,-0.017559157307974627,1.3729166959203922
7,2,mean multiple naming,-0.14289235005695508,1.5884164054652385
8,2,yulesi,-0.4300842379119574,3.1378988645681933
9,2,mdd,-0.4374679567269996,2.374308445997123
