,Context Length,Feature Name,Coefficient
0,10,length ratio,0.50547203031639
1,10,pmi,0.3876069213183406
2,10,5 most frequent word,0.23821904019836454
3,10,yulesi,0.21206011256132976
4,10,50 most frequent word,0.19031700443821836
5,10,positional token frequency,0.1410505496350034
6,10,mean word rank,0.1320446130126775
7,10,mean multiple naming,0.11708383490750573
8,10,average function words,0.1023401403011266
9,10,pronoun ratio,0.1007084213599115
10,10,repetition ratio,0.08221614864104865
11,10,single naming,0.06682651520790424
12,10,mtld,-0.004721676452085828
13,10,mdd,-0.01867776466667459
14,10,passive verb ratio,-0.022797394399431948
15,10,contextual function word,-0.13856343007550426
16,10,average word length,-0.1698936078856393
17,10,10 most frequent word,-0.21401559625283706
18,10,lexical density,-0.21781637374871482
19,10,thresold PMI,-0.2277402772946692
20,10,explicit naming,-0.24844763343823464
21,10,average sentence length,-0.35445079372403876
22,10,type token ratio,-0.4900738460035797
