,Context Length,Feature Name,Coefficient
0,2,mtld,0.07941674294696313
1,2,average sentence length,0.05194353235049589
2,2,pronoun ratio,0.03718124021479424
3,2,lexical density,0.029336528781058458
4,2,average word length,0.021574779299067218
5,2,contextual function word,0.019360476749405574
6,2,passive verb ratio,0.01915559903627749
7,2,positional token frequency,0.010740200518980102
8,2,explicit naming,0.008915897597358781
9,2,average function words,0.00623520151668023
10,2,10 most frequent word,0.0033566935034120074
11,2,mean multiple naming,-0.011162080065073698
12,2,single naming,-0.014088670769633138
13,2,repetition ratio,-0.023267992512273492
14,2,pmi,-0.03369787784915995
15,2,mdd,-0.03546578583066148
16,2,type token ratio,-0.03924778229160419
17,2,5 most frequent word,-0.0402076654664848
18,2,length ratio,-0.04235915544487533
19,2,50 most frequent word,-0.043873419664376814
20,2,thresold PMI,-0.050400216136760226
21,2,yulesi,-0.06054459925826947
22,2,mean word rank,-0.07955790692569202
