,Context Length,Feature Name,Coefficient
0,10,average sentence length,0.9020240719531403
1,10,5 most frequent word,0.28803079878203314
2,10,average word length,0.21418505528501905
3,10,average function words,0.13331634047177063
4,10,50 most frequent word,0.07772232357267234
5,10,perplexity,-0.054111192360194044
6,10,repetition ratio,-0.09018878479371639
7,10,positional token frequency,-0.13239804539330008
8,10,mdd,-0.16351965789492598
9,10,mean word rank,-0.16554455292909087
10,10,mtld,-0.1655491793657849
11,10,10 most frequent word,-0.16697997804533884
12,10,pronoun ratio,-0.1979015047663748
13,10,pmi,-0.24538159433988121
14,10,length ratio,-0.402983359703179
15,10,syllable ratio,-0.81613679140926
