,Context Length,Feature Name,Coefficient
0,10,syllable ratio,0.738496498041199
1,10,yulesi,0.29351387366878895
2,10,5 most frequent word,0.15239946752513972
3,10,positional token frequency,0.09789702198139495
4,10,pmi,-0.11028776409841036
5,10,average function words,-0.1190345278570674
6,10,single naming,-0.1366773085220195
7,10,mean word rank,-0.15840994090512941
8,10,type token ratio,-0.1643622907022581
9,10,lexical density,-0.21091086091465608
10,10,passive verb ratio,-0.21742990247394503
11,10,mtld,-0.22385674204402328
12,10,average word length,-0.30806372648825736
13,10,pronoun ratio,-0.4372579373334779
14,10,length ratio,-0.5260912021821201
15,10,average sentence length,-0.8877104801342356
