,Context Length,Feature Name,Coefficient
0,10,yulesi,1.1862991666148435
1,10,positional token frequency,0.4914392211899178
2,10,average sentence length,0.3806688981481704
3,10,pronoun ratio,0.25359713988984944
4,10,type token ratio,-0.23966999823119037
5,10,average word length,-0.24867817922031468
6,10,average function words,-0.3025671540624264
7,10,thresold PMI,-0.35539984431606414
8,10,50 most frequent word,-0.4133851037446766
9,10,repetition ratio,-0.5712434074733059
10,10,length ratio,-0.637198490464652
11,10,pmi,-0.7917691984574234
12,10,mtld,-1.4036252229449755
