,Context Length,Feature Name,Coefficient
0,2,average sentence length,0.8609873749090579
1,2,5 most frequent word,0.4758672073557041
2,2,average function words,0.23352508578969478
3,2,yulesi,0.13894374797501394
4,2,thresold PMI,0.07456100958948504
5,2,perplexity,0.05706902973464756
6,2,average word length,0.05591814080641942
7,2,type token ratio,0.04751534034025829
8,2,contextual function word,0.036609565194132096
9,2,repetition ratio,0.02491416634542944
10,2,passive verb ratio,-0.017308315342558736
11,2,single naming,-0.021806570714643248
12,2,lexical density,-0.035153329574868636
13,2,pos perplexity,-0.041404295929825724
14,2,pronoun ratio,-0.0733810658084712
15,2,mean multiple naming,-0.10596660936904256
16,2,mean word rank,-0.1245202764707965
17,2,50 most frequent word,-0.12770573993946768
18,2,explicit naming,-0.1291411656369805
19,2,positional token frequency,-0.14235372865831702
20,2,10 most frequent word,-0.18139440541224935
21,2,mtld,-0.30239801894326485
22,2,mdd,-0.4034866366421716
23,2,pmi,-0.44132304824465973
24,2,syllable ratio,-0.5308443798395419
25,2,length ratio,-0.5476451598061649
