,Context Length,Feature Name,Coefficient
0,10,yulesi,1.2742843757826074
1,10,contextual function word,0.9284383637716342
2,10,5 most frequent word,0.7859106605779596
3,10,syllable ratio,0.6665544525605903
4,10,type token ratio,0.6268732485193272
5,10,average word length,0.4851327144217025
6,10,explicit naming,0.30980454434527044
7,10,50 most frequent word,0.27098628578687134
8,10,mean multiple naming,0.22767254934796194
9,10,positional token frequency,0.180747131407288
10,10,perplexity,0.10402217431959246
11,10,pmi,0.09880347043405441
12,10,thresold PMI,0.09764708728716011
13,10,single naming,-0.013480408631018046
14,10,repetition ratio,-0.016667543184072653
15,10,passive verb ratio,-0.049302684032794586
16,10,mdd,-0.13216196206863692
17,10,pos perplexity,-0.24674347677803402
18,10,mtld,-0.32193000269523064
19,10,average sentence length,-0.3994851558143827
20,10,10 most frequent word,-0.5544188715373609
21,10,lexical density,-0.5649029034741224
22,10,pronoun ratio,-0.6354467169146844
23,10,average function words,-0.6378126065468196
24,10,mean word rank,-0.6567742451530328
25,10,length ratio,-0.7820414395991323
